gs_name,gene_symbol,layer
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ERFE,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ERRFI1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FBP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FBXW8,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FER,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FFAR3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FOXC2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FOXO1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FOXO4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,FUT7,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,G6PC1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GAB1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GCK,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GCLC,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GHR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GHRHR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GHSR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GKAP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GOT1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GPLD1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GPR21,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GRB10,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GRB14,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GRB2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GRB7,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GSK3A,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GSK3B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GSTP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,HDAC5,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,HDAC9,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,HMGCS2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,HRAS,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IDE,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IGF1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IGF1R,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IGF2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IGFBP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IL1B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,INHBB,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,INPP5K,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,INS,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,INSIG1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,INSIG2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,INSR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,INSRR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IRS1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IRS2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,IRS4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,KANK1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,KAT2B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,KBTBD2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,LEP,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,LONP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,LPIN1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,LPIN2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,LPIN3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MAPK1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MAPK3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MAPKAP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MIR103A1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MIR107,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MIR1271,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MIR15B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MIR195,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MSTN,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MTCL2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MTOR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MYO1C,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MYO5A,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,MZB1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NAMPT,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NCK1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NCL,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NCOA1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NCOA2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NCOA5,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NDEL1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NR1H4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,NUCKS1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,OGT,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,OSBPL8,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,OTOP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PAK1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PARP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PCK1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PCK2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PCSK9,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PDE3B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PDK2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PDK4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PDPK1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PHIP,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PID1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIK3C2A,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIK3CA,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIK3R1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIK3R2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIK3R3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIP4K2A,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIP4K2B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PIP4K2C,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PKLR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PKM,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PLA2G1B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PNPLA3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,POU4F2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PPARG,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PRKAA1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PRKCB,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PRKCD,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PRKCI,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PRKCQ,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PRKCZ,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PRKDC,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PTPN1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PTPN11,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PTPN2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PTPRE,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,PTPRJ,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RAB10,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RAB13,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RAB31,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RAB8A,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RAF1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RARRES2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RB1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RBM4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RBX1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RELA,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RHOQ,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RPS6KB1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,RPS6KB2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SELENOS,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SERPINA12,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SESN3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SGCB,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SH2B2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SHC1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SIK2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SIRT1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC22A12,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC25A33,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC27A1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC27A4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC2A4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC2A8,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC39A14,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SLC9A1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SMARCC1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SNX5,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SOCS1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SOCS3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SOCS7,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SORBS1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SORL1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SOS1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SOS2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SRD5A1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SREBF1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SRSF5,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,STAT1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,STXBP4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,SYAP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,TBC1D4,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,TNS2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,TRARG1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,TRIB3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,TRIM72,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,TSC2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,UCP2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,USF1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,USO1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,VAMP2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,VWA2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,WDTC1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,XBP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,YWHAG,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ZBTB7B,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ZDHHC7,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ZFP36L1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ZNF106,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ZNF592,canonical
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS,SGCB,canonical
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS,SLC27A1,canonical
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS,SLC27A4,canonical
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS,SLC2A4,canonical
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS,TRARG1,canonical
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS,ZDHHC7,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,ADIPOR1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,AHSG,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,AKT1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,AKT2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,AP3S1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,APC,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,APPL1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,BAIAP2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,BCAR1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,BCAR3,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,BLVRB,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,C1QTNF12,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,C2CD5,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,CAV2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,COL6A1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,CSRP3,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,CTSD,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,CUL7,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,DNAI1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,EIF4EBP2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,ENPP1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,ERFE,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,FBXW8,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,FER,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,FFAR3,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,FOXC2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,FOXO1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,FOXO4,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,FUT7,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GAB1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GKAP1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GPLD1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GPR21,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GRB10,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GRB14,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GRB2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GRB7,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GSK3A,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GSK3B,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,HRAS,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IDE,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IGF1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IGF1R,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IGF2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IGFBP1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IL1B,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,INPP5K,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,INS,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,INSR,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,INSRR,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IRS1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IRS2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,IRS4,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,KANK1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,LEP,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,LONP1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MAPK1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MAPK3,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MAPKAP1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MIR103A1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MIR107,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MIR1271,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MIR15B,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MIR195,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MSTN,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MTCL2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MTOR,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,MZB1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,NAMPT,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,NCK1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,NCL,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,NCOA5,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,NDEL1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,NR1H4,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,NUCKS1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,OGT,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,OSBPL8,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PAK1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PDK2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PDK4,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PDPK1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PHIP,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PID1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PIK3C2A,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PIK3CA,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PIK3R1,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PIK3R2,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PIK3R3,canonical
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,PIP4K2A,canonical
